Ensembl Gene ID (Human)	Ensembl Gene ID (Mouse)	Human Gene Symbol	PS score (P-value)	PS score (Z-score)	PG classification	Semantic similarity
ENSG00000143178	ENSMUSG00000026572	TBX19	9.14245E-07	4.771511	HPG	2.084818
ENSG00000187730	ENSMUSG00000029054	GABRD	9.43182E-07	4.765232	HPG	2.184038
ENSG00000113905	ENSMUSG00000022877	HRG	9.87342E-07	4.755998	HPG	1.909699
ENSG00000162614	ENSMUSG00000039103	NEXN	1.20101E-06	4.716274	HPG	2.06842
ENSG00000099937	ENSMUSG00000022766	SERPIND1	1.34102E-06	4.693779	HPG	1.891785
ENSG00000163554	ENSMUSG00000026532	SPTA1	1.37759E-06	4.688275	HPG	2.423401
ENSG00000188937	ENSMUSG00000051228	NYX	1.55883E-06	4.662912	HPG	1.882899
ENSG00000198691	ENSMUSG00000028125	ABCA4	1.64211E-06	4.652194	HPG	1.773528
ENSG00000166947	ENSMUSG00000023216	EPB42	1.71361E-06	4.6434	HPG	2.172101
ENSG00000005471	ENSMUSG00000042476	ABCB4	1.77302E-06	4.636357	HPG	2.166897
ENSG00000029534	ENSMUSG00000031543	ANK1	1.78498E-06	4.634966	HPG	2.408336
ENSG00000109062	ENSMUSG00000020733	SLC9A3R1	2.23453E-06	4.588283	HPG	1.977399
ENSG00000102024	ENSMUSG00000016382	PLS3	2.64949E-06	4.552589	HPG	2.019829
ENSG00000127990	ENSMUSG00000004631	SGCE	2.86895E-06	4.535824	HPG	1.591948
ENSG00000143248	ENSMUSG00000026678	RGS5	3.31148E-06	4.505459	HPG	2.130613
ENSG00000185527	ENSMUSG00000025386	PDE6G	3.78404E-06	4.477052	HPG	1.829389
ENSG00000132464	ENSMUSG00000029286	ENAM	4.37613E-06	4.445905	HPG	2.354909
ENSG00000183873	ENSMUSG00000032511	SCN5A	4.59028E-06	4.435625	HPG	2.080626
ENSG00000139330	ENSMUSG00000019932	KERA	4.69773E-06	4.430638	HPG	1.816026
ENSG00000126603	ENSMUSG00000014303	GLIS2	6.22913E-06	4.36941	HPG	2.254573
ENSG00000154485	ENSMUSG00000030981	MMP21	6.50306E-06	4.360002	HPG	1.791009
ENSG00000117013	ENSMUSG00000028631	KCNQ4	6.59862E-06	4.356809	HPG	1.79477
ENSG00000170734	ENSMUSG00000023953	POLH	7.16047E-06	4.338882	HPG	1.682677
ENSG00000204217	ENSMUSG00000067336	BMPR2	7.69818E-06	4.32294	HPG	2.178714
ENSG00000169344	ENSMUSG00000030963	UMOD	7.72962E-06	4.322041	HPG	2.178489
ENSG00000132031	ENSMUSG00000020583	MATN3	8.18653E-06	4.309356	HPG	1.621298
ENSG00000102878	ENSMUSG00000033249	HSF4	9.80881E-06	4.269199	HPG	2.059553
ENSG00000023839	ENSMUSG00000025194	ABCC2	1.05641E-05	4.252621	HPG	2.054567
ENSG00000125255	ENSMUSG00000023073	SLC10A2	1.06207E-05	4.251425	HPG	1.889207
ENSG00000113327	ENSMUSG00000020436	GABRG2	1.08953E-05	4.245706	HPG	1.915401
ENSG00000159023	ENSMUSG00000028906	EPB41	1.09359E-05	4.244873	HPG	2.215706
ENSG00000138622	ENSMUSG00000032338	HCN4	1.09903E-05	4.243759	HPG	1.8872
ENSG00000198931	ENSMUSG00000006589	APRT	1.11963E-05	4.239593	HPG	2.489324
ENSG00000106025	ENSMUSG00000029669	TSPAN12	1.14235E-05	4.23508	HPG	1.770419
ENSG00000145103	ENSMUSG00000022900	ILDR1	1.24623E-05	4.215482	HPG	2.206533
ENSG00000106031	ENSMUSG00000038203	HOXA13	1.37682E-05	4.192938	HPG	2.064417
ENSG00000161594	ENSMUSG00000001558	KLHL10	1.47286E-05	4.177622	HPG	1.908516
ENSG00000108950	ENSMUSG00000020614	FAM20A	1.48328E-05	4.176018	HPG	1.74798
ENSG00000166257	ENSMUSG00000049281	SCN3B	1.50663E-05	4.172462	HPG	1.741695
ENSG00000115705	ENSMUSG00000020673	TPO	1.55158E-05	4.165761	HPG	2.191016
ENSG00000137834	ENSMUSG00000036867	SMAD6	1.58911E-05	4.160305	HPG	2.189313
ENSG00000141627	ENSMUSG00000035765	DYM	1.65579E-05	4.150908	HPG	1.731779
ENSG00000118762	ENSMUSG00000034462	PKD2	1.81972E-05	4.129253	HPG	2.45283
ENSG00000130561	ENSMUSG00000056055	SAG	1.99005E-05	4.108632	HPG	1.583831
ENSG00000152591	ENSMUSG00000053268	DSPP	2.16957E-05	4.088638	HPG	1.732194
ENSG00000125965	ENSMUSG00000038259	GDF5	2.33604E-05	4.071453	HPG	1.999597
ENSG00000198807	ENSMUSG00000001497	PAX9	2.37801E-05	4.067304	HPG	2.43234
ENSG00000124212	ENSMUSG00000017969	PTGIS	2.47042E-05	4.058408	HPG	2.157512
ENSG00000116016	ENSMUSG00000024140	EPAS1	2.60366E-05	4.046122	HPG	2.425335
ENSG00000008710	ENSMUSG00000032855	PKD1	2.67973E-05	4.039372	HPG	2.240025
ENSG00000108231	ENSMUSG00000067242	LGI1	2.95817E-05	4.016123	HPG	2.144315
ENSG00000117528	ENSMUSG00000028127	ABCD3	3.15905E-05	4.000604	HPG	1.556261
ENSG00000007062	ENSMUSG00000029086	PROM1	3.20197E-05	3.99741	HPG	1.855758
ENSG00000139648	ENSMUSG00000051879	KRT71	3.22193E-05	3.995938	HPG	2.138015
ENSG00000149489	ENSMUSG00000071648	ROM1	3.22891E-05	3.995425	HPG	1.822184
ENSG00000278570	ENSMUSG00000032292	NR2E3	3.26576E-05	3.992736	HPG	1.705115
ENSG00000128714	ENSMUSG00000001819	HOXD13	3.27885E-05	3.991788	HPG	1.981872
ENSG00000134571	ENSMUSG00000002100	MYBPC3	3.28773E-05	3.991147	HPG	2.407152
ENSG00000091137	ENSMUSG00000020651	SLC26A4	3.32025E-05	3.988812	HPG	2.095121
ENSG00000163501	ENSMUSG00000006538	IHH	3.41475E-05	3.982149	HPG	1.979727
ENSG00000169836	ENSMUSG00000028172	TACR3	3.57945E-05	3.970942	HPG	1.815774
ENSG00000141510	ENSMUSG00000059552	TP53	3.62503E-05	3.967927	HPG	1.976563
ENSG00000131183	ENSMUSG00000021490	SLC34A1	3.72293E-05	3.96157	HPG	1.766502
ENSG00000129991	ENSMUSG00000035458	TNNI3	3.81851E-05	3.955514	HPG	1.69641
ENSG00000185008	ENSMUSG00000052516	ROBO2	0.000038616	3.952831	HPG	1.9644
ENSG00000054598	ENSMUSG00000050295	FOXC1	3.90862E-05	3.949935	HPG	2.008256
ENSG00000042781	ENSMUSG00000026609	USH2A	4.00074E-05	3.944356	HPG	1.694534
ENSG00000164199	ENSMUSG00000069170	ADGRV1	0.000040778	3.939781	HPG	1.841915
ENSG00000198626	ENSMUSG00000021313	RYR2	4.25505E-05	3.929561	HPG	2.208994
ENSG00000140090	ENSMUSG00000041771	SLC24A4	4.42278E-05	3.920254	HPG	1.954602
ENSG00000142619	ENSMUSG00000025328	PADI3	4.42524E-05	3.92012	HPG	1.669045
ENSG00000143382	ENSMUSG00000015850	ADAMTSL4	4.76049E-05	3.902486	HPG	1.82684
ENSG00000138741	ENSMUSG00000027716	TRPC3	4.86044E-05	3.897455	HPG	1.947745
ENSG00000151062	ENSMUSG00000041460	CACNA2D4	5.16619E-05	3.882651	HPG	1.820951
ENSG00000242866	ENSMUSG00000033498	STRC	5.23493E-05	3.879437	HPG	1.657332
ENSG00000205899	ENSMUSG00000044243	BHLHA9	0.000053156	3.875715	HPG	1.524388
ENSG00000073734	ENSMUSG00000027048	ABCB11	5.32756E-05	3.875168	HPG	1.7474
ENSG00000159261	ENSMUSG00000047109	CLDN14	0.00005413	3.871292	HPG	1.81758
ENSG00000198363	ENSMUSG00000028207	ASPH	0.000054234	3.870824	HPG	1.676603
ENSG00000135766	ENSMUSG00000031987	EGLN1	5.52201E-05	3.86643	HPG	2.097597
ENSG00000148600	ENSMUSG00000021803	CDHR1	5.76988E-05	3.855703	HPG	1.51928
ENSG00000124491	ENSMUSG00000039109	F13A1	5.98226E-05	3.846852	HPG	1.670997
ENSG00000123364	ENSMUSG00000001655	HOXC13	6.38652E-05	3.830794	HPG	2.086475
ENSG00000167995	ENSMUSG00000037418	BEST1	6.49508E-05	3.826645	HPG	1.594606
ENSG00000265203	ENSMUSG00000041534	RBP3	6.67072E-05	3.820069	HPG	1.510186
ENSG00000134982	ENSMUSG00000005871	APC	6.74262E-05	3.817424	HPG	1.943076
ENSG00000133256	ENSMUSG00000029491	PDE6B	6.84755E-05	3.813611	HPG	2.081112
ENSG00000070182	ENSMUSG00000021061	SPTB	6.86359E-05	3.813033	HPG	2.348242
ENSG00000185002	ENSMUSG00000019900	RFX6	7.55955E-05	3.789105	HPG	1.552866
ENSG00000177301	ENSMUSG00000040724	KCNA2	7.97107E-05	3.775915	HPG	1.916892
ENSG00000068976	ENSMUSG00000032648	PYGM	8.06685E-05	3.772937	HPG	1.64979
ENSG00000169031	ENSMUSG00000079465	COL4A3	8.23344E-05	3.767836	HPG	1.966171
ENSG00000140623	ENSMUSG00000022542	43355	8.26012E-05	3.767028	HPG	1.908516
ENSG00000013293	ENSMUSG00000069072	SLC7A14	8.49601E-05	3.75999	HPG	1.622942
ENSG00000213341	ENSMUSG00000025199	CHUK	0.00008619	3.756393	HPG	2.036973
ENSG00000143951	ENSMUSG00000020319	WDPCP	8.63043E-05	3.756061	HPG	1.91153
ENSG00000170289	ENSMUSG00000056494	CNGB3	8.87175E-05	3.74915	HPG	1.543432
ENSG00000105618	ENSMUSG00000008373	PRPF31	8.95456E-05	3.746819	HPG	1.642973
ENSG00000112280	ENSMUSG00000026147	COL9A1	9.00551E-05	3.745395	HPG	1.576997
ENSG00000107165	ENSMUSG00000005994	TYRP1	9.42069E-05	3.734065	HPG	1.905591
ENSG00000140522	ENSMUSG00000039194	RLBP1	9.60317E-05	3.729233	HPG	1.638382
ENSG00000106410	ENSMUSG00000029736	NOBOX	9.85186E-05	3.722785	HPG	2.052766
ENSG00000184302	ENSMUSG00000021099	SIX6	0.000100194	3.718526	HPG	1.484271
ENSG00000053747	ENSMUSG00000024421	LAMA3	0.000101148	3.716133	HPG	1.712241
ENSG00000167768	ENSMUSG00000046834	KRT1	0.000101599	3.715006	HPG	1.787922
ENSG00000213398	ENSMUSG00000035237	LCAT	0.000108163	3.699146	HPG	1.896162
ENSG00000146021	ENSMUSG00000014164	KLHL3	0.00010826	3.698919	HPG	1.63047
ENSG00000136695	ENSMUSG00000026983	IL36RN	0.000108456	3.698459	HPG	1.744436
ENSG00000132855	ENSMUSG00000028553	ANGPTL3	0.000117826	3.677368	HPG	1.88155
ENSG00000007372	ENSMUSG00000027168	PAX6	0.000118782	3.675306	HPG	1.944786
ENSG00000149256	ENSMUSG00000048078	TENM4	0.000122015	3.668445	HPG	2.035807
ENSG00000173040	ENSMUSG00000050248	EVC2	0.000128353	3.655475	HPG	1.630401
ENSG00000163069	ENSMUSG00000029156	SGCB	0.000130314	3.651583	HPG	1.772687
ENSG00000183638	ENSMUSG00000046049	RP1L1	0.000132653	3.647013	HPG	1.751
ENSG00000112294	ENSMUSG00000035936	ALDH5A1	0.000133629	3.645129	HPG	1.555266
ENSG00000164442	ENSMUSG00000039910	CITED2	0.000136956	3.6388	HPG	2.290616
ENSG00000241935	ENSMUSG00000025176	HOGA1	0.000136971	3.638771	HPG	1.588043
ENSG00000153208	ENSMUSG00000014361	MERTK	0.000137398	3.63797	HPG	2.126592
ENSG00000116704	ENSMUSG00000028521	SLC35D1	0.000139026	3.634934	HPG	1.553057
ENSG00000052850	ENSMUSG00000040310	ALX4	0.00014269	3.628221	HPG	1.692805
ENSG00000152592	ENSMUSG00000029307	DMP1	0.000143599	3.626582	HPG	1.876567
ENSG00000137745	ENSMUSG00000050578	MMP13	0.00014987	3.615524	HPG	1.481885
ENSG00000026103	ENSMUSG00000024778	FAS	0.000155483	3.605989	HPG	1.928766
ENSG00000184144	ENSMUSG00000053024	CNTN2	0.000163452	3.592991	HPG	1.574862
ENSG00000118194	ENSMUSG00000026414	TNNT2	0.000165917	3.589091	HPG	1.866443
ENSG00000102119	ENSMUSG00000001964	EMD	0.000166385	3.588355	HPG	1.369928
ENSG00000163499	ENSMUSG00000006546	CRYBA2	0.000167967	3.585887	HPG	1.572817
ENSG00000117560	ENSMUSG00000000817	FASLG	0.00017307	3.57807	HPG	1.922313
ENSG00000116062	ENSMUSG00000005370	MSH6	0.000177336	3.571699	HPG	1.501533
ENSG00000106991	ENSMUSG00000026814	ENG	0.000179952	3.567864	HPG	1.887548
ENSG00000143318	ENSMUSG00000007122	CASQ1	0.000190144	3.553398	HPG	1.706458
ENSG00000091262	ENSMUSG00000030834	ABCC6	0.000191863	3.55103	HPG	1.468926
ENSG00000164073	ENSMUSG00000025759	MFSD8	0.000193219	3.549177	HPG	1.534471
ENSG00000117360	ENSMUSG00000015748	PRPF3	0.000193949	3.548184	HPG	1.561962
ENSG00000126562	ENSMUSG00000035112	WNK4	0.000195588	3.545966	HPG	1.997582
ENSG00000186790	ENSMUSG00000044518	FOXE3	0.000201451	3.538175	HPG	2.257335
ENSG00000110887	ENSMUSG00000042096	DAO	0.000204359	3.53439	HPG	1.587524
ENSG00000124813	ENSMUSG00000039153	RUNX2	0.00021222	3.524402	HPG	1.877878
ENSG00000170927	ENSMUSG00000043760	PKHD1	0.000213091	3.523316	HPG	1.909659
ENSG00000072840	ENSMUSG00000029122	EVC	0.000220966	3.513688	HPG	1.601388
ENSG00000133116	ENSMUSG00000058488	KL	0.000221032	3.513608	HPG	1.976232
ENSG00000111245	ENSMUSG00000013936	MYL2	0.000227372	3.506088	HPG	1.985136
ENSG00000163635	ENSMUSG00000021738	ATXN7	0.000228365	3.504928	HPG	1.665547
ENSG00000174705	ENSMUSG00000040711	SH3PXD2B	0.000243861	3.487411	HPG	1.869647
ENSG00000144285	ENSMUSG00000064329	SCN1A	0.000244902	3.486271	HPG	1.901098
ENSG00000198570	ENSMUSG00000049353	RD3	0.000246888	3.48411	HPG	1.543515
ENSG00000122691	ENSMUSG00000035799	TWIST1	0.000247683	3.48325	HPG	1.59516
ENSG00000139567	ENSMUSG00000000530	ACVRL1	0.000249393	3.481407	HPG	1.868311
ENSG00000112592	ENSMUSG00000014767	TBP	0.000255347	3.475084	HPG	1.453666
ENSG00000126895	ENSMUSG00000031390	AVPR2	0.000255769	3.474641	HPG	1.518317
ENSG00000138696	ENSMUSG00000052430	BMPR1B	0.000261666	3.468521	HPG	1.865444
ENSG00000160213	ENSMUSG00000005054	CSTB	0.000264686	3.465436	HPG	1.833053
ENSG00000068885	ENSMUSG00000027778	IFT80	0.000271127	3.458966	HPG	1.831305
ENSG00000125885	ENSMUSG00000027353	MCM8	0.000271348	3.458746	HPG	1.831246
ENSG00000092200	ENSMUSG00000057132	RPGRIP1	0.000277396	3.452804	HPG	1.578839
ENSG00000196878	ENSMUSG00000026639	LAMB3	0.000281446	3.448892	HPG	1.512736
ENSG00000160285	ENSMUSG00000033105	LSS	0.000292082	3.438862	HPG	1.530488
ENSG00000143387	ENSMUSG00000028111	CTSK	0.000293829	3.437248	HPG	1.889768
ENSG00000129535	ENSMUSG00000040632	NRL	0.000300505	3.431158	HPG	1.674455
ENSG00000197616	ENSMUSG00000040752	MYH6	0.000301696	3.430085	HPG	2.221585
ENSG00000265107	ENSMUSG00000057123	GJA5	0.000308339	3.424171	HPG	2.219629
ENSG00000070193	ENSMUSG00000021732	FGF10	0.000312206	3.420783	HPG	1.854822
ENSG00000138083	ENSMUSG00000038805	SIX3	0.000319297	3.41467	HPG	1.505319
ENSG00000135424	ENSMUSG00000025348	ITGA7	0.000320746	3.413436	HPG	1.715482
ENSG00000095777	ENSMUSG00000025716	MYO3A	0.000326489	3.408597	HPG	1.680224
ENSG00000168453	ENSMUSG00000022096	HR	0.000332057	3.403981	HPG	1.948805
ENSG00000039139	ENSMUSG00000022262	DNAH5	0.000332875	3.403309	HPG	2.212729
ENSG00000132915	ENSMUSG00000024575	PDE6A	0.000336344	3.400475	HPG	1.666421
ENSG00000104368	ENSMUSG00000031538	PLAT	0.000340883	3.396809	HPG	2.210579
ENSG00000133895	ENSMUSG00000024947	MEN1	0.000348696	3.390602	HPG	1.878987
ENSG00000164266	ENSMUSG00000024503	SPINK1	0.00035004	3.389548	HPG	1.564045
ENSG00000088836	ENSMUSG00000074796	SLC4A11	0.000372213	3.372672	HPG	1.943498
ENSG00000153113	ENSMUSG00000021585	CAST	0.000372318	3.372594	HPG	1.789883
ENSG00000139515	ENSMUSG00000029644	PDX1	0.000387244	3.361755	HPG	1.938241
ENSG00000176692	ENSMUSG00000046714	FOXC2	0.000388015	3.361206	HPG	1.938103
ENSG00000163254	ENSMUSG00000025952	CRYGC	0.000395354	3.356027	HPG	1.540968
ENSG00000106571	ENSMUSG00000021318	GLI3	0.000419314	3.33972	HPG	1.836786
ENSG00000130385	ENSMUSG00000023279	BMP15	0.000427128	3.334589	HPG	1.658254
ENSG00000186765	ENSMUSG00000025380	FSCN2	0.000433164	3.330684	HPG	1.64815
ENSG00000138079	ENSMUSG00000024131	SLC3A1	0.000436011	3.32886	HPG	1.930011
ENSG00000204248	ENSMUSG00000024330	COL11A2	0.00043613	3.328784	HPG	1.42427
ENSG00000058085	ENSMUSG00000026479	LAMC2	0.000436879	3.328306	HPG	1.626499
ENSG00000134769	ENSMUSG00000024302	DTNA	0.000440748	3.325849	HPG	1.443484
ENSG00000001626	ENSMUSG00000041301	CFTR	0.000441818	3.325173	HPG	1.863866
ENSG00000151090	ENSMUSG00000021779	THRB	0.000442017	3.325048	HPG	1.929057
ENSG00000095464	ENSMUSG00000024992	PDE6C	0.000452387	3.318577	HPG	1.495857
ENSG00000183423	ENSMUSG00000093865	LRIT3	0.00045431	3.317392	HPG	1.653149
ENSG00000184500	ENSMUSG00000022912	PROS1	0.000456488	3.316056	HPG	1.69209
ENSG00000132470	ENSMUSG00000020758	ITGB4	0.000459152	3.314429	HPG	1.560615
ENSG00000165533	ENSMUSG00000021013	TTC8	0.000464212	3.311364	HPG	1.440064
ENSG00000159899	ENSMUSG00000028469	NPR2	0.000468983	3.308502	HPG	1.82984
ENSG00000164946	ENSMUSG00000059049	FREM1	0.000471749	3.306855	HPG	1.859632
ENSG00000101194	ENSMUSG00000023393	SLC17A9	0.000487342	3.297734	HPG	1.489856
ENSG00000139219	ENSMUSG00000022483	COL2A1	0.000496526	3.292488	HPG	1.826277
ENSG00000164326	ENSMUSG00000021647	CARTPT	0.000502292	3.28924	HPG	1.764813
ENSG00000187098	ENSMUSG00000035158	MITF	0.000505079	3.287682	HPG	1.825207
ENSG00000138061	ENSMUSG00000024087	CYP1B1	0.000507833	3.286151	HPG	1.522729
ENSG00000119509	ENSMUSG00000028344	INVS	0.000508748	3.285644	HPG	1.919199
ENSG00000174697	ENSMUSG00000059201	LEP	0.000516656	3.281296	HPG	1.918111
ENSG00000196189	ENSMUSG00000028064	SEMA4A	0.000524342	3.277129	HPG	1.68274
ENSG00000068831	ENSMUSG00000032946	RASGRP2	0.000528114	3.275105	HPG	1.483341
ENSG00000225190	ENSMUSG00000034247	PLEKHM1	0.000531669	3.273209	HPG	1.912456
ENSG00000110799	ENSMUSG00000001930	VWF	0.000537604	3.27007	HPG	1.47398
ENSG00000108823	ENSMUSG00000001508	SGCA	0.000568521	3.25422	HPG	1.677237
ENSG00000188037	ENSMUSG00000029862	CLCN1	0.000574858	3.25107	HPG	1.910549
ENSG00000136944	ENSMUSG00000038765	LMX1B	0.000593956	3.241767	HPG	1.814991
ENSG00000154415	ENSMUSG00000042717	PPP1R3A	0.000596871	3.240371	HPG	1.750115
ENSG00000007171	ENSMUSG00000020826	NOS2	0.000605325	3.236359	HPG	2.157512
ENSG00000011143	ENSMUSG00000034121	MKS1	0.000626922	3.22634	HPG	1.811558
ENSG00000066468	ENSMUSG00000030849	FGFR2	0.000636542	3.221979	HPG	1.810588
ENSG00000105722	ENSMUSG00000040857	ERF	0.000639756	3.220536	HPG	1.669146
ENSG00000157483	ENSMUSG00000032220	MYO1E	0.000648	3.216864	HPG	2.007591
ENSG00000182533	ENSMUSG00000062694	CAV3	0.000655153	3.213713	HPG	1.601165
ENSG00000184937	ENSMUSG00000016458	WT1	0.000670213	3.207181	HPG	1.836596
ENSG00000115317	ENSMUSG00000068329	HTRA2	0.000678447	3.203667	HPG	2.146699
ENSG00000167306	ENSMUSG00000025885	MYO5B	0.000685064	3.200871	HPG	1.500469
ENSG00000179270	ENSMUSG00000044375	C2orf71	0.000685642	3.200628	HPG	1.761546
ENSG00000168056	ENSMUSG00000024940	LTBP3	0.00068814	3.19958	HPG	1.897667
ENSG00000104313	ENSMUSG00000025932	EYA1	0.000706283	3.192071	HPG	1.803934
ENSG00000102683	ENSMUSG00000035296	SGCG	0.000706515	3.191976	HPG	1.662285
ENSG00000142627	ENSMUSG00000006445	EPHA2	0.000707543	3.191556	HPG	1.735433
ENSG00000174804	ENSMUSG00000049791	FZD4	0.000732133	3.181674	HPG	1.893187
ENSG00000175065	ENSMUSG00000001804	DSG4	0.000734984	3.180548	HPG	1.997328
ENSG00000134438	ENSMUSG00000024518	RAX	0.000735245	3.180445	HPG	1.883505
ENSG00000139549	ENSMUSG00000023000	DHH	0.000735273	3.180434	HPG	1.659513
ENSG00000185920	ENSMUSG00000021466	PTCH1	0.000738367	3.179217	HPG	1.801074
ENSG00000170264	ENSMUSG00000049811	FAM161A	0.000739864	3.17863	HPG	1.882938
ENSG00000109101	ENSMUSG00000002057	FOXN1	0.00074518	3.176554	HPG	1.996199
ENSG00000197891	ENSMUSG00000061742	SLC22A12	0.000749986	3.174689	HPG	1.454431
ENSG00000110245	ENSMUSG00000032081	APOC3	0.000751302	3.17418	HPG	1.88155
ENSG00000175294	ENSMUSG00000038498	CATSPER1	0.000751955	3.173928	HPG	1.61056
ENSG00000069011	ENSMUSG00000021506	PITX1	0.000754111	3.173097	HPG	1.891041
ENSG00000129170	ENSMUSG00000030470	CSRP3	0.00075534	3.172624	HPG	1.753984
ENSG00000122735	ENSMUSG00000061322	DNAI1	0.000773469	3.165731	HPG	1.590557
ENSG00000158813	ENSMUSG00000059327	EDA	0.000778584	3.163813	HPG	1.797646
ENSG00000069696	ENSMUSG00000025496	DRD4	0.000778913	3.16369	HPG	1.727052
ENSG00000056972	ENSMUSG00000019842	TRAF3IP2	0.000785201	3.161349	HPG	2.132703
ENSG00000116690	ENSMUSG00000006014	PRG4	0.000790784	3.159285	HPG	1.404156
ENSG00000184156	ENSMUSG00000056258	KCNQ3	0.000791318	3.159088	HPG	1.725668
ENSG00000104918	ENSMUSG00000012705	RETN	0.000810376	3.152146	HPG	1.447941
ENSG00000066926	ENSMUSG00000024588	FECH	0.000815863	3.150175	HPG	1.652244
ENSG00000128710	ENSMUSG00000050368	HOXD10	0.000817213	3.149692	HPG	1.603366
ENSG00000105392	ENSMUSG00000041578	CRX	0.000818815	3.14912	HPG	1.885043
ENSG00000151490	ENSMUSG00000030223	PTPRO	0.000821683	3.148098	HPG	1.486694
ENSG00000187240	ENSMUSG00000047193	DYNC2H1	0.000823608	3.147414	HPG	1.52644
ENSG00000048545	ENSMUSG00000023982	GUCA1A	0.000825328	3.146804	HPG	1.721973
ENSG00000102104	ENSMUSG00000031293	RS1	0.000855876	3.136161	HPG	1.744138
ENSG00000159251	ENSMUSG00000068614	ACTC1	0.000862104	3.134034	HPG	1.596665
ENSG00000198087	ENSMUSG00000061665	CD2AP	0.000889527	3.124834	HPG	1.866149
ENSG00000116014	ENSMUSG00000035773	KISS1R	0.000906643	3.119223	HPG	1.816268
ENSG00000171557	ENSMUSG00000033860	FGG	0.000918478	3.1154	HPG	1.863205
ENSG00000124164	ENSMUSG00000054455	VAPB	0.00092471	3.113405	HPG	1.499462
ENSG00000169071	ENSMUSG00000021464	ROR2	0.000925444	3.113171	HPG	1.786378
ENSG00000105664	ENSMUSG00000031849	COMP	0.000934804	3.1102	HPG	1.518825
ENSG00000198732	ENSMUSG00000021136	SMOC1	0.000941277	3.108161	HPG	1.785263
ENSG00000135636	ENSMUSG00000033788	DYSF	0.00094238	3.107815	HPG	1.577753
ENSG00000165138	ENSMUSG00000066191	ANKS6	0.00097283	3.098404	HPG	1.639808
ENSG00000163914	ENSMUSG00000030324	RHO	0.000972922	3.098376	HPG	1.872347
ENSG00000164093	ENSMUSG00000028023	PITX2	0.001009378	3.087459	HPG	1.808927
ENSG00000165802	ENSMUSG00000006476	NSMF	0.001009942	3.087293	HPG	1.584842
ENSG00000142192	ENSMUSG00000022892	APP	0.001029913	3.081468	HPG	1.868117
ENSG00000078401	ENSMUSG00000021367	EDN1	0.001036909	3.079452	HPG	1.867613
ENSG00000117400	ENSMUSG00000006389	MPL	0.001066798	3.070977	HPG	1.63322
ENSG00000187045	ENSMUSG00000016942	TMPRSS6	0.001069287	3.070281	HPG	2.102583
ENSG00000148704	ENSMUSG00000006270	VAX1	0.001080744	3.067097	HPG	1.725489
ENSG00000124827	ENSMUSG00000021362	GCM2	0.001090036	3.064537	HPG	1.724797
ENSG00000134376	ENSMUSG00000063681	CRB1	0.001092035	3.063989	HPG	1.631542
ENSG00000092969	ENSMUSG00000039239	TGFB2	0.001094633	3.063278	HPG	1.803338
ENSG00000101017	ENSMUSG00000017652	CD40	0.001113696	3.058108	HPG	1.862273
ENSG00000144191	ENSMUSG00000026114	CNGA3	0.001114094	3.058001	HPG	1.695264
ENSG00000166828	ENSMUSG00000000216	SCNN1G	0.001119213	3.056627	HPG	1.42772
ENSG00000198690	ENSMUSG00000033458	FAN1	0.001120072	3.056397	HPG	1.576339
